Sample_number,Molecular_marker,Result,Identity
BC3879,cytB,Plasmodium hylobati,98.36
BC3517,cytB,Plasmodium hylobati,98.48
BC1813,cytB,Plasmodium hylobati,98.5
BC1379,cytB,Plasmodium hylobati,98.5
BC4752,cytB,Plasmodium hylobati,98.52
BC1995,cytB,Plasmodium coatneyi,98.8
BC3839,cytB,Plasmodium inui,99.32
BC3455,cytB,Plasmodium inui,99.38
BC1884,cytB,Plasmodium inui,99.4
BC2033,cytB,Plasmodium inui,99.39
BC0266,cytB,Plasmodium inui,99.393
BC1633,cytB,Plasmodium inui,99.4
BC4769,cytB,Plasmodium inui,99.4
BC0175,cytB,Plasmodium inui,99.4
BC1974,cytB,Plasmodium inui,99.4
BC3433,cytB,Plasmodium inui,99.41
BC6059,cytB,Plasmodium inui,99.41
BC1523,cytB,Plasmodium inui,99.4
BC1389,cytB,Plasmodium inui,99.4
BC4802,cytB,Plasmodium coatneyi,99.57
BC1630,cytB,Plasmodium coatneyi,99.7
BC5843,cytB,Plasmodium inui,99.68
BC3055,cytB,Plasmodium inui,99.7
BC5252,cytB,Plasmodium coatneyi,99.78
BC0349,cytB,Plasmodium inui,99.79
BC1726,cytB,Plasmodium cynomolgi,99.8
BC3504,cytB,Plasmodium inui,99.8
BC2939,cytB,Plasmodium inui,99.88
BC2031,cytB,Plasmodium inui,99.89
BC3459,cytB,Plasmodium coatneyi,99.89
BC3924,cytB,Plasmodium coatneyi,99.89
BC4820,cytB,Plasmodium coatneyi,99.89
BC5315,cytB,Plasmodium coatneyi,99.89
BC0253,cytB,Plasmodium inui,99.895
BC1198,cytB,Plasmodium coatneyi,99.896
BC1744,cytB,Plasmodium cynomolgi,99.9
BC1436,cytB,Plasmodium inui,99.9
BC1629,cytB,Plasmodium coatneyi,99.9
BC1928,cytB,Plasmodium inui,99.9
BC1643,cytB,Plasmodium inui,99.9
BC1731,cytB,Plasmodium inui,99.9
BC1803,cytB,Plasmodium inui,99.9
BC1202,cytB,Plasmodium inui,99.899
BC1526,cytB,Plasmodium inui,99.9
BC1636,cytB,Plasmodium coatneyi,99.9
BC1954,cytB,Plasmodium coatneyi,99.9
BC1963,cytB,Plasmodium fieldi,99.9
BC2047,cytB,Plasmodium coatneyi,99.9
BC2621,cytB,Plasmodium inui,99.9
BC4777,cytB,Plasmodium coatneyi,99.9
BC5976,cytB,Plasmodium coatneyi,99.9
BC6053,cytB,Plasmodium inui,99.9
BC0255,cytB,Plasmodium coatneyi,99.9
BC1192,cytB,Plasmodium coatneyi,99.9
BC1529,cytB,Plasmodium fieldi,99.9
BC1486,cytB,Plasmodium inui,99.9
BC1525,cytB,Plasmodium inui,99.9
BC0829,cytB,Plasmodium vivax,100.0
BC1447,cytB,Plasmodium cynomolgi,100.0
BC1449,cytB,Plasmodium vivax,100.0
BC1456,cytB,Plasmodium cynomolgi,100.0
BC1516,cytB,Plasmodium vivax,100.0
BC1533,cytB,Plasmodium cynomolgi,100.0
BC1910,cytB,Plasmodium fieldi,100.0
BC3029,cytB,Plasmodium cynomolgi,100
BC3137,cytB,Plasmodium vivax,100
BC3831,cytB,Plasmodium vivax,100
BC3862,cytB,Plasmodium inui,100
BC4635,cytB,Plasmodium fieldi,100
BC0099,cytB,Plasmodium cynomolgi,100
BC0121,cytB,Plasmodium vivax,100
BC0230,cytB,Plasmodium cynomolgi,100
